FCLTY_ID,FCLTY_NM,LC_LA,LC_LO,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,SEARCH_MT,SEARCH_CO,RANK_CO,FILE_NM,BASE_DE
"KC594PO23N000000816","울산옹기축제","129.279491","35.435069","울산광역시","울주군","3171025630","온양읍","3171025600","온양읍","317104319772","울산광역시 울주군 온양읍 외고산3길 36","2024-02-01","450.0","112","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000817","울산조선해양축제","129.416646","35.505086","울산광역시","동구","3117010200","화정동","3117054000","대송동","311703171011","울산광역시 동구 봉수로 155","2024-02-01","60.0","307","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000818","울주세계산악영화제","129.067604","35.556348","울산광역시","울주군","3171038034","상북면","3171038000","상북면","317104853469","울산광역시 울주군 상북면 알프스온천5길 103-8","2024-02-01","120.0","231","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000819","울진금강송송이축제와 친환경농산물축제","129.4064377","36.9951057","경상북도","울진군","4793025023","울진읍 연지리","4793025000","울진읍","479303325018","경북 울진군 울진읍 연호로 47","2024-02-01","17.0","470","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000820","울진대게와 붉은대게 축제","129.4601802","36.6801855","경상북도","울진군","4793038021","후포면 후포리","4793038000","후포면","479303325021","경상북도 울진군 후포면 후포리","2024-02-01","10240.0","17","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000821","원동매화축제","128.9410364","35.42085217","경상남도","양산시","4833032024","원동면","4833032000","원동면","483303338070","경상남도 양산시 원동면 원동로 2220","2024-02-01","26380.0","12","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000822","원동청정미나리축제","128.9211173","35.38015379","경상남도","양산시","4833032021","원동면","4833032000","원동면","483303338070","경상남도 양산시 원동면 원동로 1708","2024-02-01","100.0","258","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000823","원주 다이내믹 댄싱카니발","127.9465066","37.3360577","강원도","원주시","4213010600","명륜동","4213054100","명륜1동","511303219013","강원도 원주시 단구로 170","2024-02-01","40.0","344","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000824","원주 용수골 꽃 양귀비축제","127.9404457","37.2839426","강원도","원주시","4213038022","판부면","4213038000","판부면","511304457448","강원도 원주시 판부면 용수골길 326","2024-02-01","170.0","188","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000825","원주 한지문화제","127.9353773","37.334432","강원도","원주시","4213011500","무실동","4213066000","무실동","511304457648","강원도 원주시 한지공원길 151","2024-02-01","190.0","177","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000826","윤봉길평화축제","126.6513825","36.6865377","충청남도","예산군","4481036027","덕산면","4481036000","덕산면","448103263010","충청남도 예산군 덕산면 덕산온천로 183-5","2024-02-01","40.0","344","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000827","은평누리축제","126.9158455","37.59861742","서울특별시","은평구","1138010700","응암동","1138058000","응암제1동","113803005056","서울특별시 은평구 증산로 476","2024-02-01","17.0","470","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000828","은행나무길 축제","126.9761698","36.8166226","충청남도","아산시","4420025000","염치읍","4420025000","염치읍","442004559688","아산시 염치읍 곡교천 은행나무길","2024-02-01","14.0","495","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000829","음성품바축제","127.6806296","36.9308657","충청북도","음성군","4377025021","음성읍","4377025000","음성읍","437703247036","충청북도 음성군 음성읍 예술로 102","2024-02-01","760.0","80","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000830","의견문화제","127.333041","35.5453263","전라북도","임실군","4575035521","오수면","4575035500","오수면","527503276058","전라북도 임실군 오수면 충효로 2096-16","2024-02-01","15.0","486","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000831","의왕철도축제","126.952258","37.30712099","경기도","의왕시","4143011000","월암동","4143052000","부곡동","414303339043","경기도 의왕시 왕송못동로 307","2024-02-01","190.0","177","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000832","의정부음악극축제","127.0341284","37.73338595","경기도","의정부시","4115010100","의정부동","4115052000","의정부2동","411503181037","경기도 의정부시 의정로 1","2024-02-01","100.0","258","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000833","의좋은형제축제","126.7888311","36.60702389","충청남도","예산군","4481034021","대흥면","4481034000","대흥면","448104589464","충청남도 예산군 대흥면 의좋은형제길 32","2024-02-01","30.0","382","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000834","이천도자기축제","127.385686","37.29309775","경기도","이천시","4150031029","신둔면","4150031000","신둔면","415004853635","경기도 이천시 신둔면 도자예술로5번길 109","2024-02-01","4330.0","23","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000835","이천백사산수유꽃축제","127.4622972","37.34077593","경기도","이천시","4150032023","백사면","4150032000","백사면","415004421572","경기도 이천시 백사면 원적로775번길 17","2024-02-01","1350.0","51","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000836","이천쌀문화축제","127.425788","37.2740576","경기도","이천시","4150010200","관고동","4150053000","관고동","415004421055","경기도 이천시 경충대로2697번길 167-29","2024-02-01","160.0","203","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000837","이천인삼축제","127.4255191","37.2787294","경기도","이천시","4150010200","관고동","4150053000","관고동","415004421057","경기도 이천시 경충대로2709번길 152","2024-02-01","40.0","344","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000838","이호테우축제","126.4559518","33.4961851","제주특별자치도","제주시","5011012600","이호이동","5011068000","이호동","501103349053","제주특별자치도 제주시 도리로 20","2024-02-01","17.0","470","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000839","익산서동축제","127.05943","36.00039758","전라북도","익산시","4514040021","금마면","4514040000","금마면","521404607046","전라북도 익산시 금마면 고도9길 41-14","2024-02-01","920.0","70","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000840","인삼골축제","127.5760466","36.78700527","충청북도","증평군","4374525032","증평읍","4374525000","증평읍","437453244025","충청북도 증평군 증평읍 인삼로 29","2024-02-01","23.0","424","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000841","인제빙어축제","128.0955517","37.98808996","강원도","인제군","4281031024","남면","4281031000","남면","518104499059","강원도 인제군 남면 모루박길 17-46","2024-02-01","1740.0","47","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000842","인천개항장문화재야행","126.6213401","37.47408104","인천광역시","중구","2811010900","관동1가","2811053000","신포동","281104247169","인천광역시 중구 관동1가 신포로27번길 80","2024-02-01","150.0","209","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000843","임실N치즈축제","127.302476","35.6328748","전라북도","임실군","4575034021","성수면","4575034000","성수면","527504631071","전라북도 임실군 성수면 도인2길 50","2024-02-01","290.0","146","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
